case_no,campaign_year,source_file,source_subset,configuration,absorber_beds,intercoolers,absorber_lean_solvent_flow_kg_h,absorber_lean_solvent_temp_C,absorber_lean_loading_mol_co2_per_mol_mea,absorber_nominal_lean_solvent_mea_weight_fraction,absorber_flue_gas_flow_kg_h,absorber_inlet_gas_temp_C,absorber_inlet_gas_co2_mol_pct,absorber_pressure_kPa,stripper_rich_solvent_flow_kg_h,stripper_inlet_solvent_temp_C,stripper_outlet_solvent_temp_C,stripper_rich_loading_mol_co2_per_mol_mea,stripper_rich_mea_weight_fraction,stripper_operating_pressure_kPa,stripper_reboiler_duty_kW,capture_liquid_side_pct,capture_gas_side_pct,original_model_capture_pct,composition_uncertainty_model_capture_pct,lean_loading_original_data,lean_loading_original_model,lean_loading_composition_uncertainty_data,lean_loading_composition_uncertainty_model
K1,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,6804.0,40.97,0.145,0.298,2248.0,42.48,11.55,108.82,7242.0,104.8,120.18,0.384,0.3,183.87,431.0,89.45,99.91,99.96,99.95,0.145,0.169,0.152,0.17
K2,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,11794.0,40.52,0.247,0.312,2243.0,44.94,11.4,107.06,12284.0,104.8,117.43,0.385,0.314,182.06,430.0,93.26,99.49,99.84,99.78,0.247,0.273,0.26,0.279
K3,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,3175.0,45.68,0.091,0.295,2242.0,43.67,10.58,107.78,3335.0,97.4,122.15,0.475,0.313,184.36,427.0,72.9,83.57,77.33,76.46,0.091,0.086,0.096,0.086
K4,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,3175.0,46.72,0.083,0.31,2243.0,44.73,11.45,107.65,3343.0,97.6,122.53,0.47,0.328,184.15,427.0,70.86,78.1,76.5,75.72,0.083,0.09,0.087,0.09
K5,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,6804.0,41.57,0.108,0.306,2235.0,43.78,9.19,106.94,7212.0,109.0,121.68,0.295,0.308,183.43,673.0,90.69,99.53,99.98,99.98,0.108,0.116,0.113,0.116
K6,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,6804.0,40.87,0.347,0.307,2237.0,42.18,9.12,107.1,7063.0,95.7,110.21,0.469,0.309,179.88,173.0,58.89,59.03,68.16,60.59,0.347,0.371,0.365,0.372
K7,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,11791.0,40.62,0.399,0.288,2233.0,44.72,9.18,107.3,12092.0,93.2,103.76,0.471,0.289,184.41,170.0,57.5,54.76,69.82,57.67,0.399,0.425,0.419,0.427
K8,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,11643.0,40.57,0.154,0.285,2237.0,42.47,9.2,107.26,12043.0,110.1,120.35,0.275,0.289,183.45,677.0,93.92,98.07,99.95,99.95,0.154,0.165,0.162,0.166
K9,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,3175.0,42.66,0.239,0.311,2232.0,44.87,9.22,107.49,3337.0,98.4,117.69,0.474,0.318,182.84,166.0,52.3,55.48,57.55,54.85,0.239,0.243,0.251,0.243
K10,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,3175.0,48.59,0.062,0.297,2237.0,42.15,9.18,107.71,3358.0,94.5,124.0,0.477,0.309,182.67,671.0,89.69,98.43,95.35,94.69,0.062,0.059,0.065,0.059
