source_id,evidence_category,species_or_system,quantity_type,data_level,availability,value_or_parameters,units,domain,source_locator,doi,evidence_label,use_now,limitation,next_action,zotero_collection_key,zotero_parent_key,zotero_attachment_key,local_companion_locator
Putta2016,aggregate_model_error_evidence,CO2-MEA-H2O,aggregate absorption-model error,aggregate_only,available,198-point corpus; 20 Table 4 AARD cells retained,AARD percent,293.15-343.15 K; source labels 1 and 5 mol/L MEA; loading 0-0.4 mol CO2/mol MEA; LMPD 0.58-14.7 kPa,printed p.349 Table 4; domain on printed pp.340 and 345-346,10.1016/j.ijggc.2016.08.009,verified,Compare aggregate model/apparatus error only,Raw flux rows and row-level uncertainty are not local; the Luo WWC group was used to estimate the Present models,Acquire source supplementary/raw tables before fitting or physical validation,9T8XETPA,VR43Z4ZX,BSUB8BSF,Zotero storage/BSUB8BSF local PDF
Luo2015,measured_film_observations,CO2-MEA-H2O,WWC and SDC absorption rates,row_level_supplement_missing,reported_not_local,227 observations,not locally retained,298-343 K; source labels 1 and 5 mol/L MEA; loading 0-0.4 mol CO2/mol MEA,printed pp.59-60 apparatus/domain; printed p.65 states all 227 raw data are supplementary,10.1016/j.ces.2014.10.013,verified,Use apparatus/domain metadata only,Supplement is absent locally; no plot-ready rates or uncertainty covariance,Acquire the exact supplementary file and preserve apparatus membership,9T8XETPA,KAB4KF8F,MFRDNYCS,Zotero storage/MFRDNYCS local PDF
Putta2016,exact_published_correlations,F1 and F2,reversible concentration/activity rate forms,equation_level,available,F1/F2 forward and reverse forms plus Arrhenius fits,source equations,293.15-343.15 K; source labels 1 and 5 mol/L MEA; loading 0-0.4,printed pp.341-342 Eqs.1-5 and 9-22; printed pp.345-346 Eqs.I-II,10.1016/j.ijggc.2016.08.009,verified,Implement source-faithful finite-rate candidates from retained Issue 34/41 records,Printed third-order time unit is dimensionally inconsistent and F3 primary coefficient is absent,Resolve standard-state mapping and validate against acquired row data,9T8XETPA,VR43Z4ZX,BSUB8BSF,Zotero storage/BSUB8BSF local PDF
Luo2015,exact_published_correlations,CO2,CO2-in-water diffusivity correlation,equation_level,available,D=2.35e-6 exp(-2119/T),m2/s,298-343 K,printed p.61 Eq.21,10.1016/j.ces.2014.10.013,verified,Use only under the source quantity label retained by Issue 35/42,Source does not classify it as tracer Fick or Maxwell-Stefan diffusivity,Do not turn the scalar correlation into cross-friction terms,9T8XETPA,KAB4KF8F,MFRDNYCS,Zotero storage/MFRDNYCS local PDF
Luo2015,inferred_effective_diffusivities,CO2,modified Stokes-Einstein effective diffusivity,equation_level,available,D_CO2_amine=D_CO2_water(mu_water/mu_amine)^0.8,m2/s,298-353 K; 20-40 mass% MEA; loading 0-0.5,printed p.61 Eq.22,10.1016/j.ces.2014.10.013,verified,Use as a reduced effective-film comparator,No thermodynamic-factor or Maxwell-Stefan conversion is supplied,Keep separate from tracer and multicomponent mobility data,9T8XETPA,KAB4KF8F,MFRDNYCS,Zotero storage/MFRDNYCS local PDF
Snijder1993,measured_transport_observations,MEA,dispersion-derived diffusion coefficient,16_state_table,available,16 states and Eq.8 reconstruction retained in Issue 35,m2/s,297.9-333 K; 43-5016 mol/m3 MEA,printed p.477 Table III and Eq.8; printed p.479 concentration extension,10.1021/je00011a037,verified,Use as measured scalar MEA transport evidence,Retained locator does not classify tracer Fick or Maxwell-Stefan quantity,Preserve the reported quantity type in comparisons,9T8XETPA,CSSPBD9J,ANNK86SA,Zotero storage/ANNK86SA local PDF
Polat2023,md_self_diffusion,infinitely dilute CO2 in 10 wt% MEA,Arrhenius self-diffusivity fit,correlation_parameters,available,D0=4.05e-7; Ea=12.79; R2=0.989,D0 m2/s; Ea kJ/mol,293-353 K,"PDF page 4, Table 2",10.1016/j.fluid.2022.113587,verified,Bound/check CO2 tracer mobility trends only,Infinite-dilution self-diffusion is not Fick or Maxwell-Stefan diffusion,Acquire supplementary trajectories/data if uncertainty propagation is needed,,,,
Polat2023,md_self_diffusion,infinitely dilute CO2 in 20 wt% MEA,Arrhenius self-diffusivity fit,correlation_parameters,available,D0=3.98e-7; Ea=12.82; R2=0.988,D0 m2/s; Ea kJ/mol,293-353 K,"PDF page 4, Table 2",10.1016/j.fluid.2022.113587,verified,Bound/check CO2 tracer mobility trends only,Infinite-dilution self-diffusion is not Fick or Maxwell-Stefan diffusion,Acquire supplementary trajectories/data if uncertainty propagation is needed,,,,
Polat2023,md_self_diffusion,infinitely dilute CO2 in 30 wt% MEA,Arrhenius self-diffusivity fit,correlation_parameters,available,D0=6.28e-7; Ea=15.23; R2=0.970,D0 m2/s; Ea kJ/mol,293-353 K,"PDF page 4, Table 2",10.1016/j.fluid.2022.113587,verified,Bound/check CO2 tracer mobility trends only,Infinite-dilution self-diffusion is not Fick or Maxwell-Stefan diffusion,Acquire supplementary trajectories/data if uncertainty propagation is needed,,,,
Polat2023,md_self_diffusion,infinitely dilute CO2 in 40 wt% MEA,Arrhenius self-diffusivity fit,correlation_parameters,available,D0=3.59e-7; Ea=15.23; R2=0.947,D0 m2/s; Ea kJ/mol,293-353 K,"PDF page 4, Table 2",10.1016/j.fluid.2022.113587,verified,Bound/check CO2 tracer mobility trends only,Infinite-dilution self-diffusion is not Fick or Maxwell-Stefan diffusion,Acquire supplementary trajectories/data if uncertainty propagation is needed,,,,
