model,apparatus_or_dataset,AARD_percent,source_locator,evidence_scope
Aboudheir2003 concentration,SDC Luo,24.3,Putta2016 printed p.349 Table 4,aggregate_model_comparison_not_row_level_validation
Aboudheir2003 concentration,WWC Luo,15.6,Putta2016 printed p.349 Table 4,aggregate_model_comparison_not_row_level_validation
Aboudheir2003 concentration,WWC Puxty,37.8,Putta2016 printed p.349 Table 4,aggregate_model_comparison_not_row_level_validation
Aboudheir2003 concentration,laminar jet Aboudheir,15.0,Putta2016 printed p.349 Table 4,aggregate_model_comparison_not_row_level_validation
Luo2015 concentration,SDC Luo,17.3,Putta2016 printed p.349 Table 4,aggregate_model_comparison_not_row_level_validation
Luo2015 concentration,WWC Luo,19.3,Putta2016 printed p.349 Table 4,aggregate_model_comparison_not_row_level_validation
Luo2015 concentration,WWC Puxty,37.2,Putta2016 printed p.349 Table 4,aggregate_model_comparison_not_row_level_validation
Luo2015 concentration,laminar jet Aboudheir,38.2,Putta2016 printed p.349 Table 4,aggregate_model_comparison_not_row_level_validation
Luo2015 activity,SDC Luo,15.0,Putta2016 printed p.349 Table 4,aggregate_model_comparison_not_row_level_validation
Luo2015 activity,WWC Luo,18.6,Putta2016 printed p.349 Table 4,aggregate_model_comparison_not_row_level_validation
Luo2015 activity,WWC Puxty,36.3,Putta2016 printed p.349 Table 4,aggregate_model_comparison_not_row_level_validation
Luo2015 activity,laminar jet Aboudheir,32.2,Putta2016 printed p.349 Table 4,aggregate_model_comparison_not_row_level_validation
Present concentration,SDC Luo,14.2,Putta2016 printed p.349 Table 4,aggregate_model_comparison_not_row_level_validation
Present concentration,WWC Luo,14.0,Putta2016 printed p.349 Table 4,aggregate_model_comparison_not_row_level_validation
Present concentration,WWC Puxty,12.4,Putta2016 printed p.349 Table 4,aggregate_model_comparison_not_row_level_validation
Present concentration,laminar jet Aboudheir,13.7,Putta2016 printed p.349 Table 4,aggregate_model_comparison_not_row_level_validation
Present activity,SDC Luo,18.9,Putta2016 printed p.349 Table 4,aggregate_model_comparison_not_row_level_validation
Present activity,WWC Luo,14.8,Putta2016 printed p.349 Table 4,aggregate_model_comparison_not_row_level_validation
Present activity,WWC Puxty,13.8,Putta2016 printed p.349 Table 4,aggregate_model_comparison_not_row_level_validation
Present activity,laminar jet Aboudheir,10.2,Putta2016 printed p.349 Table 4,aggregate_model_comparison_not_row_level_validation
