T_K,co2_loading_mol_per_mol_mea,sugar_wt_pct,viscosity_mPa_s,normalized_inverse_viscosity,normalization,source_locator,evidence_label,claim_scope
313.15,0,0,1.647,1.00000000,no-sugar viscosity at same T and CO2 loading,"Ramezani2021 supplied SI PDF p. 4, Table S4",verified,fixed_chemistry_viscosity_proxy_non_predictive
313.15,0.100,0,1.868,1.00000000,no-sugar viscosity at same T and CO2 loading,"Ramezani2021 supplied SI PDF p. 4, Table S4",verified,fixed_chemistry_viscosity_proxy_non_predictive
313.15,0.200,0,1.999,1.00000000,no-sugar viscosity at same T and CO2 loading,"Ramezani2021 supplied SI PDF p. 4, Table S4",verified,fixed_chemistry_viscosity_proxy_non_predictive
313.15,0.300,0,2.256,1.00000000,no-sugar viscosity at same T and CO2 loading,"Ramezani2021 supplied SI PDF p. 4, Table S4",verified,fixed_chemistry_viscosity_proxy_non_predictive
313.15,0.400,0,2.466,1.00000000,no-sugar viscosity at same T and CO2 loading,"Ramezani2021 supplied SI PDF p. 4, Table S4",verified,fixed_chemistry_viscosity_proxy_non_predictive
313.15,0,0.030,1.856,0.88739224,no-sugar viscosity at same T and CO2 loading,"Ramezani2021 supplied SI PDF p. 4, Table S4",verified,fixed_chemistry_viscosity_proxy_non_predictive
313.15,0.100,0.030,2.209,0.84563151,no-sugar viscosity at same T and CO2 loading,"Ramezani2021 supplied SI PDF p. 4, Table S4",verified,fixed_chemistry_viscosity_proxy_non_predictive
313.15,0.200,0.030,2.308,0.86611785,no-sugar viscosity at same T and CO2 loading,"Ramezani2021 supplied SI PDF p. 4, Table S4",verified,fixed_chemistry_viscosity_proxy_non_predictive
313.15,0.300,0.030,2.547,0.88574794,no-sugar viscosity at same T and CO2 loading,"Ramezani2021 supplied SI PDF p. 4, Table S4",verified,fixed_chemistry_viscosity_proxy_non_predictive
313.15,0.400,0.030,2.895,0.85181347,no-sugar viscosity at same T and CO2 loading,"Ramezani2021 supplied SI PDF p. 4, Table S4",verified,fixed_chemistry_viscosity_proxy_non_predictive
313.15,0,0.060,2.121,0.77652051,no-sugar viscosity at same T and CO2 loading,"Ramezani2021 supplied SI PDF p. 4, Table S4",verified,fixed_chemistry_viscosity_proxy_non_predictive
313.15,0.100,0.060,2.433,0.76777641,no-sugar viscosity at same T and CO2 loading,"Ramezani2021 supplied SI PDF p. 4, Table S4",verified,fixed_chemistry_viscosity_proxy_non_predictive
313.15,0.200,0.060,2.649,0.75462439,no-sugar viscosity at same T and CO2 loading,"Ramezani2021 supplied SI PDF p. 4, Table S4",verified,fixed_chemistry_viscosity_proxy_non_predictive
313.15,0.300,0.060,3.074,0.73389720,no-sugar viscosity at same T and CO2 loading,"Ramezani2021 supplied SI PDF p. 4, Table S4",verified,fixed_chemistry_viscosity_proxy_non_predictive
313.15,0.400,0.060,3.590,0.68690808,no-sugar viscosity at same T and CO2 loading,"Ramezani2021 supplied SI PDF p. 4, Table S4",verified,fixed_chemistry_viscosity_proxy_non_predictive
313.15,0,0.100,2.580,0.63837209,no-sugar viscosity at same T and CO2 loading,"Ramezani2021 supplied SI PDF p. 4, Table S4",verified,fixed_chemistry_viscosity_proxy_non_predictive
313.15,0.100,0.100,2.947,0.63386495,no-sugar viscosity at same T and CO2 loading,"Ramezani2021 supplied SI PDF p. 4, Table S4",verified,fixed_chemistry_viscosity_proxy_non_predictive
313.15,0.200,0.100,3.297,0.60630877,no-sugar viscosity at same T and CO2 loading,"Ramezani2021 supplied SI PDF p. 4, Table S4",verified,fixed_chemistry_viscosity_proxy_non_predictive
313.15,0.300,0.100,3.779,0.59698333,no-sugar viscosity at same T and CO2 loading,"Ramezani2021 supplied SI PDF p. 4, Table S4",verified,fixed_chemistry_viscosity_proxy_non_predictive
313.15,0.400,0.100,4.553,0.54162091,no-sugar viscosity at same T and CO2 loading,"Ramezani2021 supplied SI PDF p. 4, Table S4",verified,fixed_chemistry_viscosity_proxy_non_predictive
313.15,0,0.200,4.751,0.34666386,no-sugar viscosity at same T and CO2 loading,"Ramezani2021 supplied SI PDF p. 4, Table S4",verified,fixed_chemistry_viscosity_proxy_non_predictive
313.15,0.100,0.200,5.247,0.35601296,no-sugar viscosity at same T and CO2 loading,"Ramezani2021 supplied SI PDF p. 4, Table S4",verified,fixed_chemistry_viscosity_proxy_non_predictive
313.15,0.200,0.200,6.110,0.32716858,no-sugar viscosity at same T and CO2 loading,"Ramezani2021 supplied SI PDF p. 4, Table S4",verified,fixed_chemistry_viscosity_proxy_non_predictive
313.15,0.300,0.200,7.789,0.28963923,no-sugar viscosity at same T and CO2 loading,"Ramezani2021 supplied SI PDF p. 4, Table S4",verified,fixed_chemistry_viscosity_proxy_non_predictive
313.15,0.400,0.200,9.554,0.25811179,no-sugar viscosity at same T and CO2 loading,"Ramezani2021 supplied SI PDF p. 4, Table S4",verified,fixed_chemistry_viscosity_proxy_non_predictive
