run,method,geometry,water_mode,status,success,capture_pct,runtime_s,wall_runtime_s,timeout_s,message,L,V,L_G,alpha,w_MEA,y_CO2,y_H2O_input,y_H2O_legacy_converter,Tl_K,Tv_K,y_H2O_used
1,single,srp,explicit,error,False,,1.7546692000000803,1.7546692000000803,60.0,"Traceback (most recent call last):
  File ""C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\analyses\legacy_srp_lhc_probe\scripts\run_legacy_srp_lhc.py"", line 452, in <module>
    raise SystemExit(main())
                     ^^^^^^
  File ""C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\analyses\legacy_srp_lhc_probe\scripts\run_legacy_srp_lhc.py"", line 422, in main
    result = _run_worker(args.row_index, args.method, args.geometry, args.water_mode)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\analyses\legacy_srp_lhc_probe\scripts\run_legacy_srp_lhc.py"", line 248, in _run_worker
    capture_pct, success = run_model_module.run_model(
                           ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\src\mea_absorption_column\Run_Model.py""",28.64360773540634,3.777578223070945,7.58253199377055,0.2856469999645027,0.2918733806302769,0.1673103512648684,0.0158094828065687,0.1610531142152654,311.3692878203966,319.4556992586939,0.0158094828065687
2,single,srp,explicit,success,True,99.99122971194558,0.8809951999996883,2.4635362000003624,60.0,"C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\src\mea_absorption_column\Transport\Enhancement_Factor.py:44: RuntimeWarning: invalid value encountered in scalar power
  eq1 = E - Ha * Υ_MEA_int ** (1 / 2) * (1 - Υ_CO2_int) / (1 - Υ_CO2_bulk)
C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\.venv\Lib\site-packages\scipy\optimize\_nonlin.py:374: RuntimeWarning: invalid value encountered in scalar divide
  and dx_norm/self.x_rtol <= x_norm))",29.070479136739003,3.62803646563233,8.012730691137724,0.2933976966191603,0.2950261386728167,0.1736239794367795,0.0114741599485045,0.1671306191119814,312.69085426120785,318.2188145208372,0.0114741599485045
3,single,srp,explicit,success,True,99.99834683404384,0.7220311999999467,2.182947100000092,60.0,"C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\.venv\Lib\site-packages\scipy\optimize\_nonlin.py:374: RuntimeWarning: invalid value encountered in scalar divide
  and dx_norm/self.x_rtol <= x_norm))",30.178120088425874,3.4130247037084662,8.842045607122458,0.2895122775062148,0.3112882218375913,0.1707334270232804,0.0149018071552836,0.1643481704202116,313.32454901962194,317.0452734646136,0.0149018071552836
4,single,srp,explicit,success,True,99.9926607096554,0.9876241000001756,2.460339700000077,60.0,"C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\.venv\Lib\site-packages\scipy\optimize\_nonlin.py:374: RuntimeWarning: invalid value encountered in scalar divide
  and dx_norm/self.x_rtol <= x_norm))
C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\src\mea_absorption_column\Transport\Enhancement_Factor.py:44: RuntimeWarning: invalid value encountered in scalar power
  eq1 = E - Ha * Υ_MEA_int ** (1 / 2) * (1 - Υ_CO2_int) / (1 - Υ_CO2_bulk)
C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\src\mea_absorption_column\Properties\Thermophysical_Properties.py:100: RuntimeWarning: invalid value encountered in scalar power
  sigma_MEA = c1_MEA * (1 - Tl / Tc_MEA) ** (c2_MEA + c3_MEA * (Tl / Tc_MEA) + c4_MEA * (Tl / Tc_MEA) ** 2)
C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\src\mea_absorption_column\Properties\Thermophysical_Properties.py:101: RuntimeWarning: invalid value encountered",31.601498360355595,3.858418705807453,8.190271914448005,0.2771478557524129,0.2856822429794839,0.1738564128844092,0.0137994334129065,0.1673543597849616,314.71908159388266,321.790792540703,0.0137994334129065
5,single,srp,explicit,success,True,99.99832062251292,0.7057058000000325,2.166026400000192,60.0,"C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\src\mea_absorption_column\Transport\Enhancement_Factor.py:44: RuntimeWarning: invalid value encountered in scalar power
  eq1 = E - Ha * Υ_MEA_int ** (1 / 2) * (1 - Υ_CO2_int) / (1 - Υ_CO2_bulk)
C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\.venv\Lib\site-packages\scipy\optimize\_nonlin.py:374: RuntimeWarning: invalid value encountered in scalar divide
  and dx_norm/self.x_rtol <= x_norm))",26.09447858767712,3.121052582266759,8.360794283294391,0.2904938834212728,0.2965053573331498,0.1830791105595,0.0107601414202209,0.1762321379427985,313.5238488184918,319.9583122402921,0.0107601414202209
6,single,srp,explicit,success,True,99.9990597545618,0.70047889999978,2.16015490000018,60.0,"C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\.venv\Lib\site-packages\scipy\optimize\_nonlin.py:374: RuntimeWarning: invalid value encountered in scalar divide
  and dx_norm/self.x_rtol <= x_norm))",30.5510693046463,3.1104189943339486,9.822171662499242,0.2959774486056234,0.3042864953078547,0.1664355107759593,0.0129011133259358,0.1602109918712786,312.2030956787332,318.09731313569495,0.0129011133259358
7,single,srp,explicit,success,True,99.99948879604852,0.8853008999999474,2.345166600000084,60.0,"C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\.venv\Lib\site-packages\scipy\optimize\_nonlin.py:374: RuntimeWarning: invalid value encountered in scalar divide
  and dx_norm/self.x_rtol <= x_norm))
C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\src\mea_absorption_column\Transport\Enhancement_Factor.py:44: RuntimeWarning: invalid value encountered in scalar power
  eq1 = E - Ha * Υ_MEA_int ** (1 / 2) * (1 - Υ_CO2_int) / (1 - Υ_CO2_bulk)
C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\src\mea_absorption_column\Properties\Thermophysical_Properties.py:100: RuntimeWarning: invalid value encountered in scalar power
  sigma_MEA = c1_MEA * (1 - Tl / Tc_MEA) ** (c2_MEA + c3_MEA * (Tl / Tc_MEA) + c4_MEA * (Tl / Tc_MEA) ** 2)
C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\src\mea_absorption_column\Properties\Thermophysical_Properties.py:101: RuntimeWarning: invalid value encountered",29.64786440068401,3.247631492675869,9.129072823547418,0.2748689672294521,0.3031331402408543,0.1838146911713965,0.0111359378403512,0.1769402085876013,316.99033226456834,322.0058531802492,0.0111359378403512
8,single,srp,explicit,success,True,99.99959638774271,0.729318499999863,2.188234299999749,60.0,"C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\.venv\Lib\site-packages\scipy\optimize\_nonlin.py:374: RuntimeWarning: invalid value encountered in scalar divide
  and dx_norm/self.x_rtol <= x_norm))",27.659830329307045,3.2981712657077336,8.386414197739272,0.2665708488973907,0.3165620070370446,0.1656310709687484,0.011947296216853,0.1594366372950639,314.9950236381161,319.29116486059564,0.011947296216853
9,single,srp,explicit,error,False,,1.662770899999941,1.662770899999941,60.0,"Traceback (most recent call last):
  File ""C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\analyses\legacy_srp_lhc_probe\scripts\run_legacy_srp_lhc.py"", line 452, in <module>
    raise SystemExit(main())
                     ^^^^^^
  File ""C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\analyses\legacy_srp_lhc_probe\scripts\run_legacy_srp_lhc.py"", line 422, in main
    result = _run_worker(args.row_index, args.method, args.geometry, args.water_mode)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\analyses\legacy_srp_lhc_probe\scripts\run_legacy_srp_lhc.py"", line 248, in _run_worker
    capture_pct, success = run_model_module.run_model(
                           ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\src\mea_absorption_column\Run_Model.py""",27.83654811754617,3.672922774553986,7.578854723109838,0.2938359055490854,0.2909238582807239,0.1821079360336417,0.0118964905861627,0.1752972843569112,315.74153656601663,320.8708222432993,0.0118964905861627
10,single,srp,explicit,error,False,,1.646520799999962,1.646520799999962,60.0,"Traceback (most recent call last):
  File ""C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\analyses\legacy_srp_lhc_probe\scripts\run_legacy_srp_lhc.py"", line 452, in <module>
    raise SystemExit(main())
                     ^^^^^^
  File ""C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\analyses\legacy_srp_lhc_probe\scripts\run_legacy_srp_lhc.py"", line 422, in main
    result = _run_worker(args.row_index, args.method, args.geometry, args.water_mode)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\analyses\legacy_srp_lhc_probe\scripts\run_legacy_srp_lhc.py"", line 248, in _run_worker
    capture_pct, success = run_model_module.run_model(
                           ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\Tanner\.codex\worktrees\legacy-srp-lhc-probe\MEA-Absorption-Column\src\mea_absorption_column\Run_Model.py""",26.54225993893724,3.683581415948169,7.205558108210064,0.2840744221649599,0.3093693864794469,0.1783333963179011,0.0133697228263885,0.1716639085893423,314.5064803131476,321.2851857303846,0.0133697228263885
